oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
138,10472,0.622,0.732,0.2431,0.378,0.268,High Connected,High Connected,4,2,58,5.7,1,8,64,8.00
139,10473,0.6836,0.7231,0.204,0.3164,0.2769,Medium High Connected,High Connected,4,6,98,42.1,2,19,61,3.21
140,10474,0.617,0.7108,0.2835,0.383,0.2892,High Connected,High Connected,4,1,10,3.3,1,18,31,1.72
141,10475,0.6722,0.6919,0.2096,0.3278,0.3081,High Connected,High Connected,4,3,92,7.8,1,3,25,8.33
142,11001,0.8147,0.8188,0.1064,0.1853,0.1812,Medium Low Connected,Medium Low Connected,0,0,0,0,0,0,0,0
143,11004,0.7641,0.7575,0.1251,0.2359,0.2425,Medium Low Connected,Medium High Connected,3,1,24,2.5,1,10,1,0.10
144,11005,0.7117,0.6937,0.1806,0.2883,0.3063,Medium High Connected,High Connected,2,0,0,0,0,1,0,0.00
145,11040,0.7632,0.7602,0.1095,0.2368,0.2398,Medium Low Connected,Medium High Connected,2,0,0,0,0,4,1,0.25
146,11096,0.5106,0.77,0.2272,0.4894,0.23,High Connected,Medium High Connected,0,0,0,0,0,0,0,0
147,11101,0.7964,0.8333,0.121,0.2036,0.1667,Medium Low Connected,Medium Low Connected,5,6,147,15.4,70,66,14,0.21
148,11102,0.7851,0.8063,0.1215,0.2149,0.1937,Medium Low Connected,Medium Low Connected,4,3,52,11.5,11,21,8,0.38
149,11103,0.7764,0.8037,0.1323,0.2236,0.1963,Medium Low Connected,Medium Low Connected,4,1,18,5.9,30,10,7,0.70
150,11104,0.7591,0.8017,0.1413,0.2409,0.1983,Medium High Connected,Medium Low Connected,3,2,24,4.6,7,3,5,1.67
151,11105,0.7927,0.8124,0.1318,0.2073,0.1876,Medium Low Connected,Medium Low Connected,4,1,31,0.9,2,18,12,0.67
152,11106,0.7803,0.7967,0.1387,0.2197,0.2033,Medium Low Connected,Medium Low Connected,4,2,20,5,19,10,10,1.00
153,11109,0.901,0.9448,0.0213,0.099,0.0552,Low Connected,Low Connected,0,0,0,0,0,0,0,0
154,11201,0.8332,0.8347,0.0963,0.1668,0.1653,Medium Low Connected,Medium Low Connected,7,4,66,12.3,156,39,56,1.44
155,11203,0.6798,0.7072,0.2154,0.3202,0.2928,High Connected,High Connected,4,3,27,8.3,13,28,37,1.32
156,11204,0.6259,0.6801,0.2492,0.3741,0.3199,High Connected,High Connected,3,2,39,6.9,7,11,15,1.36
157,11205,0.682,0.7469,0.2185,0.318,0.2531,High Connected,Medium High Connected,4,3,32,6.6,22,8,21,2.63
158,11206,0.5961,0.7156,0.2683,0.4039,0.2844,High Connected,High Connected,4,8,114,28.8,25,7,33,4.71
